control_before,year,month,block,total_lbs,total_value ,season
,1999,1,829,58.9,410.85,1
,1999,2,835,95.9,767.2,1
,1999,1,840,880,6380,1
,1998,11,843,123,676.5,1
,1998,10,849,6699.9,31318.325,1
,1998,11,849,1811,10866,1
,1998,12,849,2201.1,14307.15,1
,1999,1,849,45,270,1
,1999,2,849,57.2,400.4,1
,1998,10,850,5134.35,25933.6,1
,1998,11,850,2920.25,17207.355,1
,1998,12,850,565.85,3593.05,1
,1999,1,850,923.7,5922.625,1
,1999,2,850,1673.7,12666.75,1
,1999,3,850,1110.2,8324.05,1
,1998,10,852,66,330,1
,1998,10,855,926,4861.5,1
,1998,10,856,315.2,1339.6,1
,1998,10,862,28,147,1
,1998,11,862,69,362.25,1
,1998,12,862,24.6,153.75,1
,1998,11,863,196,1372,1
,1998,12,863,110.8,776.25,1
,1999,1,866,56.6,353.75,1
,1998,10,867,2060,10815,1
,1998,11,867,1533,8355.5,1
,1998,12,867,719.1,4097.825,1
,1999,1,867,487,2933.25,1
,1999,2,867,193,1158,1
,1999,2,868,277.2,1891.4,1
,1998,10,869,1034,5457,1
,1998,10,872,106.74,501.678,1
,1998,10,873,2466,0,1
,1998,10,880,354.3,1682.925,1
,1998,11,880,230.9,1217.95,1
,1999,1,880,118.6,737.25,1
,1999,2,880,101,681.75,1
,1999,3,880,68.8,481.6,1
,1998,12,881,77.7,478.25,1
,1999,1,881,63,378,1
,1998,11,890,922,5762.5,1
,1999,1,890,364.4,2915.2,1
,1999,2,890,602.3,4219.5,1
,1999,3,890,587.9,4115.3,1
,1999,3,897,21,136.5,1
,1999,10,604,162.5,1137.5,2
,1999,10,606,30.9,200.85,2
,2000,2,606,56,448,2
,2000,1,608,289,2312,2
,1999,10,628,181.1,1267.7,2
,1999,11,628,22.7,170.25,2
,2000,1,638,135.5,1181.875,2
,1999,12,643,147,0,2
,1999,10,651,57.2,400.4,2
,1999,11,651,61.7,458.05,2
,1999,12,651,20.2,161.6,2
,1999,10,652,1671.7,11834.95,2
,1999,11,652,953.3,7271.875,2
,1999,12,652,661.3,5009.7,2
,2000,1,652,605.3,5023.1,2
,2000,2,652,601.4,4836,2
,2000,3,652,438.8,3459.7,2
,1999,10,653,2696.4,18939,2
,1999,11,653,2486.37,18717.1,2
,1999,12,653,1233.7,9161.25,2
,2000,1,653,463.4,3916.7,2
,2000,2,653,679.45,5441.6,2
,2000,3,653,405.55,3259.9,2
,1999,10,655,1271.2,9360.175,2
,1999,11,655,1263.5,9714.39,2
,1999,12,655,645.9,4411.375,2
,2000,1,655,509.2,4226.695,2
,2000,2,655,317.4,2539.2,2
,2000,3,655,63.3,506.4,2
,1999,10,656,1020.6,7192.55,2
,1999,11,656,1548.75,11799.7,2
,1999,12,656,1159.2,9239.05,2
,2000,1,656,994.8,8240.25,2
,2000,2,656,1072.9,8583.2,2
,2000,3,656,354.6,2836.8,2
,1999,10,658,83.3,624.75,2
,1999,12,658,24.8,198.4,2
,2000,2,659,16.8,134.4,2
,1999,12,660,58,449.5,2
,1999,10,664,591,4432.5,2
,1999,10,665,981.7,7271.275,2
,1999,11,665,1647.7,13028.3,2
,1999,12,665,1915.8,15859.65,2
,2000,1,665,2282.19,18651.515,2
,2000,2,665,533,4264,2
,2000,3,665,43,365.5,2
,1999,10,666,129.8,973.5,2
,2000,2,670,526.1,4340.325,2
,1999,10,674,113.3,838.42,2
,1999,11,682,180.4,1447.592,2
,1999,12,682,37,333,2
,2000,3,682,306.4,2451.2,2
,1999,10,683,99,742.5,2
,1999,11,683,18,144,2
,1999,12,683,448.1,3665.325,2
,2000,1,683,246.1,2091.85,2
,2000,2,683,216,1778.25,2
,2000,3,683,276.4,2044,2
,1999,10,686,197,1457.1,2
,1999,11,686,607,4713.4,2
,1999,12,686,258.4,2250.32,2
,2000,1,686,172.5,1529.35,2
,2000,3,686,327.9,2623.2,2
,1999,11,691,26,208,2
,1999,10,692,15.9,111.3,2
,1999,10,694,77.8,544.6,2
,1999,12,696,41.3,330.4,2
,1999,10,700,104.6,732.2,2
,1999,10,704,987.9,7378.15,2
,1999,11,704,951.6,7588.195,2
,1999,12,704,485.4,4185.9,2
,2000,1,704,462.3,3829.4,2
,2000,2,704,132,1071,2
,2000,3,704,108.5,876.5,2
,1999,12,705,185,1387.5,2
,1999,10,712,110.2,771.4,2
,1999,12,712,312.4,2455.7,2
,2000,1,712,186.1,1558.85,2
,2000,2,712,591,4778,2
,2000,3,712,184.5,1469,2
,2000,1,714,75,637.5,2
,2000,1,715,157,1295.25,2
,1999,11,718,1399.1,11180.3,2
,1999,10,719,2270.32,16203.32,2
,1999,11,719,3822.57,28318.11,2
,1999,12,719,2335.87,18061.1775,2
,2000,1,719,2970.36,23219.2416,2
,2000,2,719,5482.66,42748.145,2
,2000,3,719,1740.87,13584.7275,2
,2000,2,722,35,297.5,2
,1999,10,726,88,638,2
,2000,2,729,31,232.5,2
,2000,3,729,32,240,2
,1999,10,730,32.7,261.6,2
,1999,12,730,115.1,978.35,2
,1999,10,732,54.2,392.95,2
,2000,1,732,50.5,404,2
,1999,10,739,119,842.57,2
,1999,11,739,442,3314,2
,1999,12,739,554.75,4488.55,2
,2000,1,739,292.5,2270.5,2
,2000,2,739,603.8,4469.825,2
,2000,3,739,344.9,2594.3,2
,1999,10,740,2400.9,17762.75,2
,1999,11,740,278.5,2193.75,2
,1999,12,740,155.5,1134.85,2
,2000,1,740,356.45,2533.7,2
,2000,2,740,1043,8211.1625,2
,2000,3,740,404.6,3193.025,2
,2000,1,741,24,180,2
,2000,3,742,91.7,779.45,2
,1999,10,747,142,994,2
,1999,10,748,223,1672.5,2
,1999,12,748,99,693,2
,1999,10,750,1337,10027.5,2
,1999,10,751,5,0,2
,1999,12,752,193.2,1365,2
,2000,1,752,108.4,386.25,2
,1999,10,754,449.65,3345.7,2
,1999,11,754,49,392,2
,2000,2,754,186,1488,2
,1999,10,756,4256.41,31056.405,2
,1999,11,756,2083.1,16153.075,2
,1999,12,756,2062.59,16726.3275,2
,2000,1,756,1543.8,12703,2
,2000,2,756,3008.8,24740.8,2
,2000,3,756,584.7,4782.975,2
,1999,10,758,87.5,218.75,2
,1999,11,758,23.5,146.875,2
,2000,2,758,96,768,2
,2000,3,758,30,240,2
,2000,1,759,97.8,831.3,2
,2000,3,759,86,688,2
,1999,10,767,531.5,3952.5,2
,1999,11,767,426.8,2970,2
,2000,1,767,23.5,0,2
,2000,3,767,45.4,340.5,2
,1999,10,770,6,42,2
,2000,1,776,55,385,2
,1999,10,800,95,617.5,2
,1999,10,801,1724.3,12591.8,2
,1999,11,801,953.6,7206.8,2
,1999,12,801,783,5863,2
,2000,1,801,1599.8,12179.8,2
,2000,2,801,744.2,5493.6,2
,2000,3,801,962,2746,2
,1999,11,802,90.9,727.2,2
,1999,11,806,209.5,1601.25,2
,1999,12,806,502,3797,2
,2000,1,806,177,1344.5,2
,2000,2,806,316.5,2690.25,2
,2000,3,806,204.9,1641.7,2
,1999,12,809,588.4,4560.1,2
,1999,10,810,39,282.75,2
,1999,10,813,8481.5,60116.1,2
,1999,11,813,2797.1,22001.8,2
,1999,12,813,2418,17597.5,2
,2000,1,813,2563.2,21057.65,2
,2000,2,813,1368.36,10908.88,2
,2000,3,813,584.1,4383.75,2
,2000,1,822,262.3,2229.55,2
,2000,2,822,68,544,2
,1999,10,823,95,552.5,2
,1999,11,826,48,360,2
,1999,10,827,501,3507,2
,1999,12,827,245,2021.25,2
,1999,10,829,5733.3,37691.5,2
,1999,11,829,3419.4,26663.21,2
,1999,12,829,2220.5,17166.475,2
,2000,1,829,1386.7,10971.525,2
,2000,2,829,902.8,6860.475,2
,1999,10,830,120,900,2
,1999,10,831,95.2,666.4,2
,1999,11,831,149.4,1195.2,2
,2000,6,840,215,236.5,2
,1999,10,843,100,700,2
,1999,10,847,1417,9919,2
,1999,12,849,99,693,2
,1999,10,850,7148.5,46613.6,2
,1999,11,850,4042.5,29643.465,2
,1999,12,850,2875.1,22781.325,2
,2000,1,850,3387.9,28234.6,2
,2000,2,850,4006.3,31977.38,2
,2000,3,850,1966.3,15561.335,2
,1999,12,852,98,784,2
,1999,11,853,112,896,2
,1999,11,856,521,3386.5,2
,1999,10,858,11,110,2
,1999,10,861,281,1889.5,2
,1999,11,861,76.4,559,2
,1999,12,861,47.4,367.35,2
,1999,11,866,107,802.5,2
,2000,2,866,62.5,500,2
,1999,10,867,1239.4,8675.8,2
,1999,12,867,135,1046.25,2
,2000,2,867,264,2217,2
,1999,10,869,1902,13318.46,2
,1999,11,869,346.4,2603.7,2
,1999,12,869,36,297,2
,2000,1,869,142.55,1127.3625,2
,1999,12,872,152,1064,2
,2000,1,872,325,2275,2
,2000,1,873,7,59.5,2
,1999,11,879,161.6,1292.8,2
,1999,10,880,67.2,470.4,2
,1999,12,880,365.5,2986,2
,2000,2,880,49.9,399.2,2
,2000,1,881,29.5,243.375,2
,2000,1,888,2.5,27.5,2
,1999,10,890,112,0,2
,1999,11,890,714.2,5440.35,2
,1999,12,890,405.2,3164.85,2
,2000,1,890,157,1334.5,2
,1999,10,892,130,952.75,2
,2000,10,608,130,845,3
,2000,12,618,266.6,1778.1,3
,2000,10,652,3029.8,17931.775,3
,2000,11,652,1823.3,12120.6,3
,2000,12,652,1388,9544.325,3
,2001,1,652,1473.8,9990.35,3
,2001,2,652,999.5,7211.725,3
,2001,3,652,281.9,2054.25,3
,2000,10,653,6963.4,41966.775,3
,2000,11,653,2417,13640.725,3
,2000,12,653,1959.6,13497.425,3
,2001,1,653,1325.5,9235.125,3
,2001,2,653,492.6,3512.775,3
,2001,3,653,656.6,4877.9,3
